word,global,noise-aware,self,top,bot
die,109.471,109.045,144.412,0.000,0.000
china,97.010,99.348,103.028,0.000,0.000
spread,171.524,170.385,255.568,0.000,0.000
required,93.563,92.801,154.432,0.000,0.000
either,61.086,61.258,90.611,0.000,0.000
previously,133.431,134.893,108.590,0.000,0.000
score,180.912,179.940,192.782,0.000,0.000
product,113.341,110.575,145.534,0.000,0.000
min,294.575,293.850,213.304,0.000,0.000
primary,119.260,117.681,150.780,0.000,0.000
various,64.506,62.546,126.603,0.000,0.000
single,93.706,93.892,126.849,0.000,0.000
another,94.500,95.177,147.744,0.000,0.000
confirmed,119.338,117.162,142.738,0.000,0.000
medium,190.577,188.394,134.860,0.000,0.000
pcr,229.407,229.597,228.050,0.000,0.000
reduced,115.565,114.147,186.844,0.000,0.000
part,59.481,59.801,130.907,0.000,0.000
line,144.377,145.895,88.752,0.000,0.000
lead,166.823,165.773,245.818,0.000,0.000
distribution,163.604,162.365,150.351,0.000,0.000
trial,281.150,282.514,330.880,0.000,0.000
laboratory,135.159,135.099,148.545,0.000,0.000
demonstrated,152.881,151.181,149.692,0.000,0.000
pathway,178.694,179.711,175.973,0.000,0.000
often,47.120,48.005,124.689,0.000,0.000
previous,116.425,112.818,86.563,0.000,0.000
procedure,90.099,90.083,136.953,0.000,0.000
reaction,200.436,196.996,233.729,0.000,0.000
four,74.013,72.248,92.633,0.000,0.000
international,84.923,85.295,124.451,0.000,0.000
license,346.328,419.552,437.927,0.000,0.000
normal,111.290,111.300,164.888,0.000,0.000
antigen,222.787,223.517,221.494,0.000,0.000
via,78.582,79.013,108.405,0.000,0.000
exposure,160.943,160.657,202.726,0.000,0.000
general,92.360,92.241,138.635,0.000,0.000
term,127.543,126.166,173.150,0.000,0.000
syndrome,244.823,245.224,290.485,0.000,0.000
community,80.026,80.305,123.747,0.000,0.000
pneumonia,190.943,190.747,229.851,0.000,0.000
additional,75.427,74.363,113.967,0.000,0.000
tested,131.165,126.959,171.487,0.000,0.000
service,152.877,146.651,221.859,0.000,0.000
problem,84.548,83.032,184.132,0.000,0.000
highly,96.469,97.476,155.150,0.000,0.000
antiviral,196.548,198.198,194.107,0.000,0.000
activation,186.797,188.068,182.521,0.000,0.000
growth,144.056,138.272,191.959,0.000,0.000
collected,132.178,131.569,162.994,0.000,0.000
sars,168.905,169.115,158.423,0.000,0.000
least,144.114,144.245,174.573,0.000,0.000
management,150.507,150.947,195.350,0.000,0.000
pattern,108.465,109.760,142.722,0.000,0.000
mutation,262.382,264.483,252.652,0.000,0.000
treated,169.994,161.507,208.618,0.000,0.000
feature,183.259,183.314,206.794,0.000,0.000
initial,78.147,78.116,108.129,0.000,0.000
phase,125.506,124.137,169.627,0.000,0.000
intervention,149.547,149.340,172.958,0.000,0.000
inhibitor,227.123,227.974,225.718,0.000,0.000
global,79.178,77.906,111.805,0.000,0.000
participant,184.122,183.251,196.788,0.000,0.000
experiment,186.515,184.982,150.162,0.000,0.000
still,61.784,60.952,103.409,0.000,0.000
world,115.002,114.127,224.060,0.000,0.000
adult,110.795,108.119,142.944,0.000,0.000
limited,80.238,79.737,142.125,0.000,0.000
source,98.400,101.539,149.652,0.000,0.000
conclusion,141.530,139.788,186.341,0.000,0.000
involved,110.514,109.591,183.354,0.000,0.000
molecular,185.079,185.018,187.029,0.000,0.000
local,83.782,81.238,112.407,0.000,0.000
chronic,108.599,110.462,166.910,0.000,0.000
version,117.185,117.972,142.553,0.000,0.000
section,169.874,165.543,192.407,0.000,0.000
overall,59.814,59.405,84.309,0.000,0.000
reduction,111.931,110.709,170.576,0.000,0.000
average,97.499,97.998,127.190,0.000,0.000
life,150.788,150.376,267.206,0.000,0.000
determined,179.022,178.049,208.445,0.000,0.000
followed,80.486,79.556,132.674,0.000,0.000
critical,80.811,81.893,137.326,0.000,0.000
association,205.141,204.616,146.988,0.000,0.000
practice,145.353,142.605,187.101,0.000,0.000
characteristic,112.739,111.673,124.920,0.000,0.000
particle,200.126,202.137,196.401,0.000,0.000
unit,92.284,93.892,83.653,0.000,0.000
caused,96.430,95.150,184.791,0.000,0.000
stage,185.291,184.814,211.276,0.000,0.000
step,130.269,128.009,190.048,0.000,0.000
molecule,177.226,178.014,163.388,0.000,0.000
challenge,131.052,128.550,215.944,0.000,0.000
must,107.858,104.577,193.884,0.000,0.000
temperature,160.913,159.227,228.888,0.000,0.000
across,160.239,156.979,234.031,0.000,0.000
future,118.069,117.711,171.902,0.000,0.000
especially,62.597,61.693,102.121,0.000,0.000
solution,130.818,129.636,178.420,0.000,0.000
liver,148.832,149.052,189.612,0.000,0.000
presented,84.943,85.480,108.275,0.000,0.000
like,70.680,68.065,125.329,0.000,0.000
quality,123.206,122.961,197.394,0.000,0.000
healthcare,158.342,157.622,210.579,0.000,0.000
ratio,114.943,114.217,102.113,0.000,0.000
better,68.709,66.416,181.402,0.000,0.000
recently,112.630,111.075,89.407,0.000,0.000
prior,85.892,82.726,107.524,0.000,0.000
defined,86.177,86.490,127.845,0.000,0.000
suggest,116.179,117.637,154.475,0.000,0.000
material,115.888,115.971,143.667,0.000,0.000
provided,56.514,56.386,128.433,0.000,0.000
relationship,150.986,148.346,207.759,0.000,0.000
subject,130.194,128.867,154.991,0.000,0.000
water,87.296,86.228,144.214,0.000,0.000
cellular,198.529,198.001,162.890,0.000,0.000
technique,120.364,118.749,154.594,0.000,0.000
technology,80.151,80.363,127.447,0.000,0.000
compound,241.853,241.703,198.769,0.000,0.000
make,67.419,66.397,157.625,0.000,0.000
way,96.028,97.511,150.888,0.000,0.000
national,116.818,118.061,139.328,0.000,0.000
residue,235.601,234.895,227.158,0.000,0.000
decrease,109.559,107.965,171.930,0.000,0.000
display,123.346,122.586,155.000,0.000,0.000
bacterial,139.699,141.396,146.677,0.000,0.000
expressed,201.538,198.725,231.161,0.000,0.000
novel,226.940,225.968,241.127,0.000,0.000
body,116.417,119.850,192.260,0.000,0.000
determine,106.890,105.575,184.057,0.000,0.000
containing,97.603,96.468,106.469,0.000,0.000
policy,111.285,113.836,190.801,0.000,0.000
active,102.989,104.626,145.282,0.000,0.000
inflammatory,226.744,226.730,244.558,0.000,0.000
component,74.901,73.924,108.917,0.000,0.000
pulmonary,169.487,169.281,187.066,0.000,0.000
identify,105.200,105.364,137.039,0.000,0.000
loss,115.635,115.723,194.925,0.000,0.000
seen,97.148,98.607,119.796,0.000,0.000
reduce,92.971,92.584,219.690,0.000,0.000
end,101.350,104.672,169.859,0.000,0.000
und,119.348,119.451,119.788,0.000,0.000
application,122.041,121.733,155.743,0.000,0.000
right,129.491,127.969,172.170,0.000,0.000
illness,151.081,147.211,197.202,0.000,0.000
ability,88.237,86.372,178.652,0.000,0.000
fever,177.989,176.909,219.050,0.000,0.000
furthermore,44.001,44.689,46.883,0.000,0.000
main,84.772,85.109,145.838,0.000,0.000
resource,153.058,153.411,207.021,0.000,0.000
program,65.344,64.717,107.393,0.000,0.000
estimate,145.605,145.037,202.239,0.000,0.000
knowledge,100.957,100.412,176.515,0.000,0.000
particular,46.275,46.456,75.420,0.000,0.000
incidence,159.463,159.662,175.747,0.000,0.000
setting,140.672,140.767,178.293,0.000,0.000
much,115.050,114.005,169.041,0.000,0.000
enzyme,155.983,156.714,142.219,0.000,0.000
center,132.326,128.860,158.415,0.000,0.000
cost,141.996,141.822,247.065,0.000,0.000
contrast,109.576,107.386,124.025,0.000,0.000
failure,145.592,147.236,208.625,0.000,0.000
key,82.231,83.278,154.129,0.000,0.000
tool,106.069,106.262,156.237,0.000,0.000
greater,92.167,91.614,188.617,0.000,0.000
hour,141.127,139.875,200.759,0.000,0.000
able,95.296,94.213,211.238,0.000,0.000
analyzed,131.530,128.894,146.081,0.000,0.000
signal,157.210,157.158,127.780,0.000,0.000
measured,140.458,138.338,172.654,0.000,0.000
2019,157.276,157.725,155.686,0.000,0.000
injury,179.393,174.403,269.300,0.000,0.000
member,118.058,117.159,165.587,0.000,0.000
plasma,153.122,153.263,143.509,0.000,0.000
whereas,96.152,96.030,104.221,0.000,0.000
vector,179.081,179.501,177.672,0.000,0.000
increasing,68.536,68.966,153.947,0.000,0.000
direct,108.527,107.783,147.720,0.000,0.000
sensitivity,217.650,216.372,182.608,0.000,0.000
lack,86.068,86.215,163.956,0.000,0.000
class,126.340,127.039,146.893,0.000,0.000
revealed,160.117,156.349,169.941,0.000,0.000
isolated,162.383,161.234,169.263,0.000,0.000
help,105.541,104.370,175.021,0.000,0.000
relative,96.745,95.350,120.318,0.000,0.000
food,116.361,116.169,201.279,0.000,0.000
pressure,201.752,200.477,311.203,0.000,0.000
question,100.242,98.908,211.464,0.000,0.000
play,281.187,282.215,366.036,0.000,0.000
combination,82.372,82.221,97.090,0.000,0.000
median,176.599,178.016,195.978,0.000,0.000
decreased,149.325,148.634,203.509,0.000,0.000
indicated,85.148,82.593,79.464,0.000,0.000
comparison,115.679,115.826,85.512,0.000,0.000
moreover,37.021,37.087,45.318,0.000,0.000
environment,88.686,85.927,155.086,0.000,0.000
dose,202.129,202.594,242.634,0.000,0.000
issue,78.283,78.151,171.342,0.000,0.000
