word,global,noise-aware,self,top,bot
steroid,71.104,71.684,71.681,0.000,0.000
10s,23.525,23.614,23.093,0.000,0.000
frontend,23.441,23.403,24.111,0.000,0.000
511,111.813,111.945,113.874,0.000,0.000
sadie,18.198,18.189,18.240,0.000,0.000
brutus,10.922,10.955,10.924,0.000,0.000
roh,13.008,13.100,12.655,0.000,0.000
blackberry,42.604,42.601,42.527,0.000,0.000
fathom,25.267,25.262,25.349,0.000,0.000
deplorable,10.739,10.720,10.821,0.000,0.000
rafsanjani,15.393,15.288,16.611,0.000,0.000
shrieking,22.720,22.714,22.903,0.000,0.000
ephemeral,20.281,20.252,20.717,0.000,0.000
highrise,35.551,34.795,36.564,0.000,0.000
arsenic,43.467,43.508,45.425,0.000,0.000
denouncing,20.761,20.755,20.603,0.000,0.000
eccentricity,7.812,7.857,7.782,0.000,0.000
depressive,80.943,80.814,81.199,0.000,0.000
invasive,59.320,59.327,60.547,0.000,0.000
saluted,12.053,11.986,11.867,0.000,0.000
lash,22.068,21.924,22.321,0.000,0.000
perceives,20.252,20.211,20.797,0.000,0.000
enact,37.446,37.529,38.853,0.000,0.000
unintended,43.835,43.855,43.922,0.000,0.000
budge,19.570,19.518,19.162,0.000,0.000
sparingly,11.696,11.645,12.058,0.000,0.000
dismisses,22.867,22.800,22.774,0.000,0.000
emmanuel,17.853,17.926,17.316,0.000,0.000
waxed,26.349,26.331,26.319,0.000,0.000
suspecting,8.175,8.119,8.076,0.000,0.000
oozing,16.794,16.735,16.324,0.000,0.000
penniless,9.166,9.221,9.112,0.000,0.000
gritty,30.104,30.088,29.864,0.000,0.000
rooting,18.387,18.376,18.697,0.000,0.000
porous,24.539,24.494,25.286,0.000,0.000
shoplifting,21.478,21.211,21.268,0.000,0.000
snort,19.133,19.122,18.714,0.000,0.000
undress,15.872,15.919,15.774,0.000,0.000
boyhood,28.911,28.815,28.821,0.000,0.000
forts,21.064,21.081,21.930,0.000,0.000
harsher,20.241,20.237,20.575,0.000,0.000
