word,global,noise-aware,self,top,bot
psychology,47.945,47.449,51.951,0.000,0.000
blacks,53.303,52.917,64.646,0.000,0.000
arizona,63.950,65.414,60.671,0.000,0.000
survive,12.831,12.900,16.504,0.000,0.000
stops,23.928,23.979,26.532,0.000,0.000
draft,83.684,83.382,80.250,0.000,0.000
resource,35.667,34.876,39.050,0.000,0.000
marked,19.311,19.329,21.472,0.000,0.000
max,25.843,26.187,26.666,0.000,0.000
gently,18.753,18.459,22.025,0.000,0.000
components,26.692,26.251,30.701,0.000,0.000
worker,35.839,35.753,40.227,0.000,0.000
capable,15.877,15.702,21.307,0.000,0.000
shoot,19.561,19.466,18.884,0.000,0.000
inner,43.288,43.956,45.692,0.000,0.000
personnel,31.202,31.170,30.813,0.000,0.000
happening,9.395,9.482,11.319,0.000,0.000
jacket,26.859,26.705,22.524,0.000,0.000
channel,38.657,38.708,35.732,0.000,0.000
procedure,32.472,32.047,33.627,0.000,0.000
anxiety,39.831,39.334,56.705,0.000,0.000
egg,54.358,55.609,57.412,0.000,0.000
literary,20.527,20.206,21.081,0.000,0.000
surrounding,10.034,9.950,12.046,0.000,0.000
jump,20.521,20.450,19.625,0.000,0.000
bags,35.776,35.359,34.726,0.000,0.000
session,32.197,31.303,29.883,0.000,0.000
parks,32.869,33.006,34.082,0.000,0.000
totally,14.320,14.878,16.882,0.000,0.000
blind,30.178,30.295,31.778,0.000,0.000
susan,22.042,21.880,19.133,0.000,0.000
tip,23.853,24.029,24.127,0.000,0.000
touched,16.683,16.637,22.442,0.000,0.000
historic,26.767,26.724,28.319,0.000,0.000
enemy,24.943,24.988,29.141,0.000,0.000
fallen,18.694,18.508,21.466,0.000,0.000
accident,21.994,21.293,19.570,0.000,0.000
bears,61.814,62.715,62.314,0.000,0.000
males,38.536,38.377,42.084,0.000,0.000
beliefs,31.420,30.907,41.592,0.000,0.000
violent,17.229,17.222,21.155,0.000,0.000
conventional,15.767,15.616,19.060,0.000,0.000
reveal,19.404,19.289,20.286,0.000,0.000
attend,28.683,28.491,26.983,0.000,0.000
continuing,14.155,13.840,16.408,0.000,0.000
lifted,25.129,24.585,28.716,0.000,0.000
latter,16.080,15.346,18.043,0.000,0.000
protein,33.055,32.330,35.806,0.000,0.000
memories,24.513,24.410,26.937,0.000,0.000
technologies,37.568,37.252,38.392,0.000,0.000
garlic,51.311,52.854,50.605,0.000,0.000
similarly,13.729,13.492,14.610,0.000,0.000
populations,31.606,31.309,34.510,0.000,0.000
rolled,19.407,19.428,21.148,0.000,0.000
phase,20.151,19.582,22.852,0.000,0.000
returns,26.038,25.760,27.358,0.000,0.000
technique,14.605,14.263,14.544,0.000,0.000
jimmy,29.332,29.168,30.432,0.000,0.000
evil,17.688,17.833,18.311,0.000,0.000
apparent,17.214,17.280,21.707,0.000,0.000
retirement,50.331,50.178,54.223,0.000,0.000
orders,30.159,29.955,31.714,0.000,0.000
interviews,32.842,32.144,32.120,0.000,0.000
talent,24.517,24.689,25.302,0.000,0.000
meal,19.634,18.799,21.147,0.000,0.000
distant,11.859,11.700,13.632,0.000,0.000
shock,22.778,22.711,23.359,0.000,0.000
pace,30.099,30.112,31.307,0.000,0.000
charlie,28.441,28.414,26.065,0.000,0.000
effectively,19.244,18.878,23.024,0.000,0.000
nights,24.490,24.092,23.694,0.000,0.000
eric,28.453,28.301,27.759,0.000,0.000
corp,83.950,84.306,75.059,0.000,0.000
nevertheless,7.025,6.763,8.643,0.000,0.000
waters,25.730,26.123,23.996,0.000,0.000
knife,42.642,43.397,44.569,0.000,0.000
hoped,19.726,18.731,27.814,0.000,0.000
purchase,15.686,15.364,14.453,0.000,0.000
device,17.242,17.085,18.277,0.000,0.000
daniel,25.988,25.786,24.192,0.000,0.000
mistake,18.774,18.200,21.401,0.000,0.000
400,14.067,14.390,11.316,0.000,0.000
whereas,20.656,20.274,21.510,0.000,0.000
contains,16.094,16.345,16.757,0.000,0.000
korea,105.636,107.999,101.017,0.000,0.000
suffered,15.802,15.277,19.289,0.000,0.000
concrete,16.132,16.031,15.917,0.000,0.000
adopted,26.016,25.816,29.880,0.000,0.000
festival,41.233,40.201,37.065,0.000,0.000
trend,24.327,23.598,29.041,0.000,0.000
exposed,16.465,16.528,17.532,0.000,0.000
seats,63.526,62.817,65.758,0.000,0.000
assume,14.160,13.854,18.150,0.000,0.000
perfectly,15.858,15.516,20.681,0.000,0.000
rush,15.132,15.087,15.338,0.000,0.000
constitution,48.673,48.373,61.500,0.000,0.000
bones,25.434,25.354,27.751,0.000,0.000
stomach,19.246,18.703,22.083,0.000,0.000
sheet,33.527,33.542,31.462,0.000,0.000
passage,26.983,26.648,28.916,0.000,0.000
strongly,24.736,24.755,25.605,0.000,0.000
comfort,17.703,17.740,23.844,0.000,0.000
definition,19.226,19.044,22.607,0.000,0.000
criticism,15.842,15.803,19.070,0.000,0.000
