word,global,noise-aware,self,top,bot
linear,21.038,20.881,17.915,0.000,0.000
solutions,11.743,12.131,18.337,0.000,0.000
partial,4.954,5.137,4.639,0.000,0.000
proposed,3.914,3.790,3.798,0.000,0.000
inference,3.195,3.191,3.332,0.000,0.000
choice,8.252,7.828,9.764,0.000,0.000
average,15.277,16.310,13.003,0.000,0.000
conditions,26.766,25.950,27.808,0.000,0.000
design,27.638,28.599,28.106,0.000,0.000
actions,12.947,12.918,12.559,0.000,0.000
prove,4.288,4.137,5.739,0.000,0.000
make,4.590,4.682,5.227,0.000,0.000
making,11.415,11.400,12.663,0.000,0.000
product,7.428,7.518,9.805,0.000,0.000
next,2.445,2.259,2.470,0.000,0.000
obtain,6.263,6.264,6.034,0.000,0.000
rate,19.953,19.519,18.919,0.000,0.000
pattern,5.559,5.652,5.742,0.000,0.000
international,10.234,10.130,11.204,0.000,0.000
equation,15.072,14.945,17.565,0.000,0.000
described,4.763,4.376,4.027,0.000,0.000
individual,2.502,2.498,2.429,0.000,0.000
stable,7.339,7.455,8.728,0.000,0.000
subset,9.204,9.274,9.988,0.000,0.000
study,4.624,4.984,3.883,0.000,0.000
change,12.440,11.685,13.842,0.000,0.000
qualitative,21.628,21.478,20.485,0.000,0.000
press,5.250,5.455,3.504,0.000,0.000
description,4.952,4.893,2.697,0.000,0.000
degree,8.204,8.360,8.449,0.000,0.000
approaches,5.680,5.786,4.471,0.000,0.000
positive,4.946,5.273,7.069,0.000,0.000
denoted,6.294,6.507,6.861,0.000,0.000
specific,4.950,5.001,5.148,0.000,0.000
logical,5.214,5.187,4.567,0.000,0.000
evidence,5.064,5.159,4.633,0.000,0.000
relations,2.458,2.595,4.677,0.000,0.000
multi,13.504,14.078,13.826,0.000,0.000
length,22.685,23.815,21.808,0.000,0.000
notion,4.565,4.751,4.538,0.000,0.000
within,2.471,2.554,2.774,0.000,0.000
necessary,1.206,1.211,1.066,0.000,0.000
situation,4.908,5.209,6.709,0.000,0.000
environment,16.758,16.730,16.487,0.000,0.000
input,11.934,11.832,12.313,0.000,0.000
distribution,5.548,4.398,8.054,0.000,0.000
presented,2.650,2.772,3.591,0.000,0.000
implies,3.184,3.269,4.131,0.000,0.000
english,6.492,6.654,6.093,0.000,0.000
complex,7.778,8.001,8.000,0.000,0.000
test,4.604,4.656,3.597,0.000,0.000
upper,18.612,18.472,20.170,0.000,0.000
numbers,5.557,5.566,5.175,0.000,0.000
shown,2.281,2.467,1.873,0.000,0.000
measures,11.459,11.317,12.499,0.000,0.000
points,8.291,7.546,9.459,0.000,0.000
examples,3.594,3.926,2.995,0.000,0.000
meaning,16.845,17.249,17.633,0.000,0.000
main,2.721,2.856,2.305,0.000,0.000
sense,2.767,3.535,2.686,0.000,0.000
die,34.127,34.610,32.667,0.000,0.000
argument,13.687,14.632,14.585,0.000,0.000
related,4.132,4.163,4.448,0.000,0.000
free,12.744,11.823,14.427,0.000,0.000
equal,4.682,5.213,3.986,0.000,0.000
local,7.261,7.981,7.403,0.000,0.000
proceedings,15.218,15.212,15.128,0.000,0.000
minimal,11.976,11.891,12.345,0.000,0.000
arbitrary,3.417,3.836,3.886,0.000,0.000
computational,5.250,5.239,5.766,0.000,0.000
corresponds,12.011,11.767,11.297,0.000,0.000
processes,3.682,3.925,2.585,0.000,0.000
introduce,2.939,3.003,3.919,0.000,0.000
question,3.966,4.182,4.529,0.000,0.000
conference,18.395,18.488,18.367,0.000,0.000
term,25.270,22.087,32.521,0.000,0.000
der,17.660,17.616,17.283,0.000,0.000
indeed,1.013,1.305,1.209,0.000,0.000
addition,2.978,2.611,2.214,0.000,0.000
stage,17.144,17.248,17.643,0.000,0.000
estimate,17.326,18.212,16.970,0.000,0.000
associated,4.411,4.721,5.063,0.000,0.000
computation,3.114,3.069,2.634,0.000,0.000
operations,2.900,3.017,3.184,0.000,0.000
finally,1.823,1.867,1.639,0.000,0.000
valued,11.036,11.073,12.358,0.000,0.000
bound,11.093,10.844,9.765,0.000,0.000
instead,1.809,1.813,2.065,0.000,0.000
found,2.118,2.201,2.408,0.000,0.000
interpretation,8.515,8.782,8.180,0.000,0.000
distance,19.305,18.172,22.989,0.000,0.000
standard,2.475,2.810,1.982,0.000,0.000
solved,14.044,14.388,15.144,0.000,0.000
universal,8.276,9.168,9.063,0.000,0.000
due,8.158,8.033,6.503,0.000,0.000
still,1.376,1.579,2.367,0.000,0.000
previous,2.496,2.596,2.053,0.000,0.000
know,3.119,3.417,2.734,0.000,0.000
less,1.278,1.392,1.106,0.000,0.000
structures,3.027,3.234,2.738,0.000,0.000
types,4.586,4.924,5.708,0.000,0.000
path,10.756,10.366,12.426,0.000,0.000
experiments,5.432,5.371,4.282,0.000,0.000
effect,12.821,13.485,11.395,0.000,0.000
always,2.371,2.890,1.861,0.000,0.000
much,2.641,2.590,2.737,0.000,0.000
mathematics,2.359,2.232,2.584,0.000,0.000
application,1.257,1.279,1.326,0.000,0.000
represent,1.654,1.740,2.333,0.000,0.000
object,11.747,10.988,12.117,0.000,0.000
zero,20.197,19.343,22.356,0.000,0.000
satisfies,4.268,3.867,5.263,0.000,0.000
view,2.436,2.408,3.374,0.000,0.000
provide,2.168,2.241,2.109,0.000,0.000
give,1.969,2.055,1.689,0.000,0.000
theories,3.273,3.589,4.208,0.000,0.000
right,9.975,9.651,15.521,0.000,0.000
four,10.454,9.475,15.594,0.000,0.000
theoretical,2.893,2.859,2.822,0.000,0.000
rather,1.718,1.963,1.691,0.000,0.000
optimization,15.414,15.605,15.781,0.000,0.000
compute,4.463,4.523,4.420,0.000,0.000
measurement,15.508,15.933,12.879,0.000,0.000
parameter,11.878,11.136,12.656,0.000,0.000
introduced,2.917,2.922,2.570,0.000,0.000
special,21.127,17.899,26.357,0.000,0.000
often,1.549,1.600,1.672,0.000,0.000
shows,2.766,2.826,2.747,0.000,0.000
parameters,4.051,3.686,4.040,0.000,0.000
scale,38.371,34.398,35.106,0.000,0.000
formal,2.386,2.354,2.339,0.000,0.000
hard,10.177,10.037,15.702,0.000,0.000
certain,1.950,2.210,1.681,0.000,0.000
better,3.317,3.354,3.271,0.000,0.000
consists,4.444,4.493,4.762,0.000,0.000
control,15.556,15.714,15.963,0.000,0.000
original,1.477,1.556,1.741,0.000,0.000
empty,9.513,9.485,9.123,0.000,0.000
assumption,3.171,3.506,2.919,0.000,0.000
otherwise,5.826,5.834,6.132,0.000,0.000
notation,2.392,2.553,2.727,0.000,0.000
capacity,17.449,17.526,18.301,0.000,0.000
proc,11.068,11.233,9.678,0.000,0.000
alternative,5.676,5.676,6.266,0.000,0.000
weight,10.842,11.047,11.191,0.000,0.000
dynamic,7.102,7.320,6.628,0.000,0.000
independent,7.741,7.721,8.408,0.000,0.000
http,9.001,9.007,8.344,0.000,0.000
get,4.258,4.207,5.399,0.000,0.000
vol,5.698,6.210,5.292,0.000,0.000
taking,6.011,5.718,4.792,0.000,0.000
extended,4.425,4.492,4.853,0.000,0.000
vectors,12.792,13.323,20.453,0.000,0.000
various,3.531,3.361,4.197,0.000,0.000
might,3.032,3.389,2.655,0.000,0.000
among,1.547,1.500,1.525,0.000,0.000
word,18.622,18.561,18.798,0.000,0.000
exactly,2.470,2.383,1.724,0.000,0.000
hypothesis,7.769,7.759,7.355,0.000,0.000
whose,1.545,1.603,1.858,0.000,0.000
good,1.019,1.065,1.396,0.000,0.000
fixed,10.293,10.173,11.827,0.000,0.000
formulas,10.448,10.704,7.758,0.000,0.000
already,0.951,1.070,1.034,0.000,0.000
sub,5.130,5.072,5.669,0.000,0.000
multiple,5.209,5.361,5.418,0.000,0.000
containing,14.661,14.805,15.357,0.000,0.000
exist,6.737,6.857,6.977,0.000,0.000
allows,0.790,0.806,1.252,0.000,0.000
transformation,23.768,21.058,22.450,0.000,0.000
introduction,2.686,2.544,2.410,0.000,0.000
extensions,1.844,1.832,1.892,0.000,0.000
power,24.184,23.611,26.075,0.000,0.000
steps,3.441,3.464,3.522,0.000,0.000
similarly,1.775,1.761,2.266,0.000,0.000
able,1.659,1.663,2.297,0.000,0.000
uncertainty,7.762,8.082,6.541,0.000,0.000
