word,global,noise-aware,self,top,bot
constraint,34.438,48.403,40.545,0.000,0.000
cases,4.258,4.193,5.398,0.000,0.000
constants,4.323,4.455,4.531,0.000,0.000
complex,7.778,7.483,6.808,0.000,0.000
world,13.609,12.351,7.570,0.000,0.000
magnitude,6.274,6.414,6.984,0.000,0.000
implies,3.184,3.129,7.073,0.000,0.000
view,2.436,2.622,4.212,0.000,0.000
correct,2.228,2.152,2.608,0.000,0.000
press,5.250,4.404,2.908,0.000,0.000
static,4.424,4.487,4.314,0.000,0.000
long,5.816,6.056,5.787,0.000,0.000
need,1.504,1.828,2.349,0.000,0.000
origin,3.170,3.175,3.162,0.000,0.000
math,4.107,4.263,4.229,0.000,0.000
assumed,1.160,1.208,1.657,0.000,0.000
describe,2.638,2.471,2.508,0.000,0.000
constraints,35.567,57.727,50.376,0.000,0.000
points,8.291,8.848,10.365,0.000,0.000
contribution,12.240,12.489,12.207,0.000,0.000
reaction,10.573,10.548,12.181,0.000,0.000
series,8.182,8.585,7.528,0.000,0.000
vol,5.698,4.648,5.238,0.000,0.000
homogeneous,4.215,4.044,4.451,0.000,0.000
existence,3.526,3.640,5.699,0.000,0.000
discussed,1.207,1.193,0.938,0.000,0.000
higher,7.858,7.912,7.610,0.000,0.000
depend,2.216,2.270,2.296,0.000,0.000
assumption,3.171,3.280,1.566,0.000,0.000
theoretical,2.893,2.520,1.864,0.000,0.000
presence,3.436,3.618,5.231,0.000,0.000
proper,3.699,3.516,3.810,0.000,0.000
angle,7.517,7.455,6.784,0.000,0.000
parts,4.582,4.550,6.082,0.000,0.000
taken,0.782,0.821,1.344,0.000,0.000
still,1.376,1.301,2.399,0.000,0.000
complete,8.542,9.295,11.272,0.000,0.000
although,0.407,0.381,0.505,0.000,0.000
explicit,2.064,2.057,2.236,0.000,0.000
correlation,15.496,16.537,15.624,0.000,0.000
rather,1.718,1.689,1.603,0.000,0.000
property,5.197,5.443,7.811,0.000,0.000
propagation,12.585,9.041,9.238,0.000,0.000
natural,6.869,6.725,5.188,0.000,0.000
parallel,12.045,12.274,13.255,0.000,0.000
appendix,4.689,4.758,5.344,0.000,0.000
product,7.428,7.368,6.765,0.000,0.000
freedom,9.081,8.821,9.015,0.000,0.000
satisfy,3.736,3.414,4.301,0.000,0.000
choice,8.252,8.417,7.998,0.000,0.000
problems,17.148,17.030,15.420,0.000,0.000
random,8.715,7.230,14.569,0.000,0.000
nonlinear,6.107,6.342,6.469,0.000,0.000
experimental,3.831,3.541,2.567,0.000,0.000
study,4.624,4.932,4.552,0.000,0.000
either,2.104,2.222,2.792,0.000,0.000
green,14.961,15.365,14.198,0.000,0.000
del,23.414,23.777,20.931,0.000,0.000
rate,19.953,21.289,22.308,0.000,0.000
inverse,2.463,2.644,2.272,0.000,0.000
statistical,8.000,7.404,8.011,0.000,0.000
conclusion,4.960,5.209,6.341,0.000,0.000
exact,4.088,3.840,4.303,0.000,0.000
journal,5.526,4.835,6.131,0.000,0.000
next,2.445,2.354,2.824,0.000,0.000
identity,9.899,9.985,10.037,0.000,0.000
negative,6.383,6.355,8.956,0.000,0.000
consistent,11.898,12.380,11.357,0.000,0.000
procedure,3.281,3.273,3.064,0.000,0.000
basic,9.682,9.743,10.174,0.000,0.000
proposed,3.914,3.919,3.572,0.000,0.000
course,1.103,1.037,1.183,0.000,0.000
exactly,2.470,2.134,1.760,0.000,0.000
seen,1.794,1.728,1.714,0.000,0.000
make,4.590,4.703,5.021,0.000,0.000
test,4.604,4.377,3.220,0.000,0.000
changes,4.754,5.066,4.519,0.000,0.000
involves,4.104,3.996,4.462,0.000,0.000
namely,1.197,1.259,1.420,0.000,0.000
stationary,1.309,1.388,1.969,0.000,0.000
shows,2.766,2.746,2.951,0.000,0.000
theories,3.273,3.195,3.914,0.000,0.000
involving,2.291,2.185,1.899,0.000,0.000
macroscopic,1.737,1.706,2.250,0.000,0.000
made,1.554,1.628,1.296,0.000,0.000
upon,2.056,2.036,2.418,0.000,0.000
specific,4.950,4.937,5.531,0.000,0.000
region,4.985,5.372,8.186,0.000,0.000
stress,7.206,7.462,7.338,0.000,0.000
formalism,4.178,4.738,6.756,0.000,0.000
previous,2.496,2.409,1.784,0.000,0.000
numerical,6.081,6.965,5.910,0.000,0.000
object,11.747,12.423,13.754,0.000,0.000
per,7.790,8.295,9.755,0.000,0.000
necessary,1.206,1.044,1.121,0.000,0.000
instead,1.809,1.810,1.887,0.000,0.000
effective,3.284,3.211,2.861,0.000,0.000
shall,2.333,2.296,2.555,0.000,0.000
least,12.714,14.258,15.511,0.000,0.000
satisfies,4.268,3.734,7.062,0.000,0.000
dependence,3.175,3.234,3.284,0.000,0.000
proof,10.175,10.760,24.529,0.000,0.000
author,4.306,4.448,4.145,0.000,0.000
consequence,1.483,1.748,2.846,0.000,0.000
true,15.827,15.962,16.214,0.000,0.000
balance,11.419,11.259,11.720,0.000,0.000
isotropic,6.193,6.365,5.885,0.000,0.000
transform,8.822,8.924,8.615,0.000,0.000
determine,1.666,1.643,2.287,0.000,0.000
arxiv,4.019,4.160,2.682,0.000,0.000
dimensions,2.092,1.984,2.011,0.000,0.000
closed,3.720,4.095,4.431,0.000,0.000
allows,0.790,0.782,1.430,0.000,0.000
requires,1.773,1.969,2.337,0.000,0.000
domain,14.401,12.272,14.645,0.000,0.000
continuity,7.038,7.233,7.498,0.000,0.000
directly,0.509,0.455,0.323,0.000,0.000
literature,3.847,3.769,3.493,0.000,0.000
simply,1.218,1.237,1.157,0.000,0.000
son,23.633,24.038,22.656,0.000,0.000
appears,2.000,1.997,2.196,0.000,0.000
far,1.290,1.483,0.707,0.000,0.000
measured,6.316,5.859,4.660,0.000,0.000
question,3.966,4.072,5.374,0.000,0.000
much,2.641,2.556,2.099,0.000,0.000
range,5.166,5.266,4.755,0.000,0.000
models,8.144,8.182,6.357,0.000,0.000
process,6.316,4.541,3.578,0.000,0.000
interactions,5.387,5.559,6.224,0.000,0.000
easily,1.274,1.136,1.681,0.000,0.000
apply,1.487,1.613,1.945,0.000,0.000
applications,1.673,1.838,1.953,0.000,0.000
done,1.814,1.951,1.873,0.000,0.000
proportional,4.761,4.551,4.970,0.000,0.000
algebra,4.984,4.967,5.965,0.000,0.000
intrinsic,3.766,3.795,4.924,0.000,0.000
infinite,3.266,3.368,3.885,0.000,0.000
functional,4.946,5.100,3.084,0.000,0.000
sec,3.186,3.353,3.632,0.000,0.000
calculations,2.204,2.126,2.615,0.000,0.000
represents,1.383,1.356,1.432,0.000,0.000
quot,2.270,1.916,2.881,0.000,0.000
basis,1.987,2.022,1.856,0.000,0.000
class,13.786,14.530,16.594,0.000,0.000
latter,2.017,2.106,2.049,0.000,0.000
remains,1.041,1.010,1.713,0.000,0.000
element,24.674,24.093,27.465,0.000,0.000
clear,0.592,0.633,0.588,0.000,0.000
variation,5.129,5.155,4.946,0.000,0.000
useful,1.383,1.364,1.637,0.000,0.000
already,0.951,0.941,1.240,0.000,0.000
interesting,0.963,0.995,0.947,0.000,0.000
actually,0.687,0.722,1.049,0.000,0.000
third,2.275,2.343,2.539,0.000,0.000
experiments,5.432,5.316,4.405,0.000,0.000
framework,4.565,4.419,3.579,0.000,0.000
article,1.476,1.667,3.228,0.000,0.000
size,17.312,17.712,17.663,0.000,0.000
des,8.915,9.087,8.449,0.000,0.000
generated,5.494,4.595,2.421,0.000,0.000
representation,12.388,11.941,12.166,0.000,0.000
takes,1.930,2.212,1.944,0.000,0.000
left,3.584,3.711,6.558,0.000,0.000
generalization,1.342,1.184,1.518,0.000,0.000
partial,4.954,5.310,6.052,0.000,0.000
forms,4.713,4.666,4.780,0.000,0.000
exist,6.737,6.864,7.558,0.000,0.000
together,1.061,1.003,1.283,0.000,0.000
modes,6.065,6.178,6.840,0.000,0.000
methods,5.285,5.081,4.333,0.000,0.000
calculated,0.977,1.069,1.311,0.000,0.000
addition,2.978,2.829,1.984,0.000,0.000
moments,4.718,4.918,5.099,0.000,0.000
discuss,1.570,1.645,1.428,0.000,0.000
interval,16.000,16.451,16.954,0.000,0.000
provided,1.157,1.054,1.454,0.000,0.000
pressure,4.125,4.278,4.388,0.000,0.000
mode,10.012,10.370,10.810,0.000,0.000
