word,global,noise-aware,self,top,bot
equivalence,8.535,8.413,8.360,0.000,0.000
group,6.365,6.529,6.869,0.000,0.000
support,13.415,13.725,14.352,0.000,0.000
definitions,4.148,4.274,3.789,0.000,0.000
construction,1.449,1.495,1.516,0.000,0.000
small,14.812,14.405,16.795,0.000,0.000
principle,3.510,3.640,4.446,0.000,0.000
component,7.230,7.822,7.196,0.000,0.000
basis,47.956,48.519,49.316,0.000,0.000
best,5.661,5.478,7.201,0.000,0.000
strong,11.189,10.690,12.355,0.000,0.000
setting,1.319,1.322,1.331,0.000,0.000
version,3.592,3.766,4.339,0.000,0.000
apply,3.042,3.140,3.011,0.000,0.000
left,18.240,18.084,16.494,0.000,0.000
equations,20.662,20.283,20.016,0.000,0.000
quality,15.863,15.783,17.827,0.000,0.000
satisfied,9.337,9.334,9.506,0.000,0.000
web,13.680,13.787,14.932,0.000,0.000
arguments,11.285,11.477,11.130,0.000,0.000
experimental,21.149,19.556,26.400,0.000,0.000
difference,15.606,15.576,16.067,0.000,0.000
life,6.366,6.500,6.931,0.000,0.000
consistency,5.689,5.879,4.918,0.000,0.000
role,5.946,5.610,7.424,0.000,0.000
labels,5.485,5.527,5.315,0.000,0.000
atoms,36.293,35.376,39.055,0.000,0.000
partition,6.673,6.601,6.708,0.000,0.000
fock,48.665,49.603,53.759,0.000,0.000
provides,1.381,1.434,1.532,0.000,0.000
integer,4.516,4.427,4.640,0.000,0.000
generated,2.934,3.072,3.003,0.000,0.000
global,5.540,5.721,5.359,0.000,0.000
gives,2.978,3.068,2.666,0.000,0.000
solve,4.934,5.016,4.788,0.000,0.000
sequences,5.750,5.797,5.925,0.000,0.000
including,5.581,5.607,5.066,0.000,0.000
made,4.161,4.122,3.326,0.000,0.000
easily,1.623,1.694,1.296,0.000,0.000
physics,24.318,21.999,29.479,0.000,0.000
generally,2.589,2.731,2.430,0.000,0.000
figure,7.444,7.336,7.168,0.000,0.000
evaluation,14.362,14.447,17.359,0.000,0.000
ones,2.088,2.091,2.178,0.000,0.000
goal,3.852,3.658,4.370,0.000,0.000
procedure,12.584,12.776,13.560,0.000,0.000
pairs,5.488,5.596,4.996,0.000,0.000
top,2.589,2.669,2.334,0.000,0.000
idea,1.030,1.005,1.386,0.000,0.000
selected,5.715,5.732,6.627,0.000,0.000
reduction,6.417,5.945,6.838,0.000,0.000
required,1.636,1.680,2.018,0.000,0.000
contain,3.576,3.540,3.740,0.000,0.000
sector,2.469,2.423,2.974,0.000,0.000
easy,1.752,1.805,1.456,0.000,0.000
satisfy,3.547,3.558,3.796,0.000,0.000
measurements,26.604,23.739,31.348,0.000,0.000
etc,2.855,3.015,2.641,0.000,0.000
latter,2.534,2.657,2.179,0.000,0.000
