language,cls_name,r,n_pos,n_neg,n_landmarks,accuracy,precision,recall,f1
english,cosine_001,1,1200,2700,6123,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,2700,6166,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,2700,6211,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,2700,6223,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,2700,6249,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,2700,6274,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,2700,6295,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,2700,6299,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,2700,6306,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,2700,6319,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,3200,6336,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,3200,6339,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,3200,6354,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,3200,6373,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,3200,6390,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,3200,6413,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,3200,6425,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,3200,6433,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,3200,6442,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,3200,6446,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,3700,6449,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,3700,6459,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,3700,6464,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,3700,6464,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,3700,6474,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,3700,6481,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
