language,cls_name,choice_method,r,n_pos,n_neg,n_landmarks,accuracy,precision,recall,f1
english,cosine_025,random,1.0,500,500,5055,0.6486486486486487,0.5714285714285714,0.75,0.6486486486486486
english,cosine_025,far,1.0,500,500,7405,0.6216216216216216,0.5454545454545454,0.75,0.631578947368421
english,cosine_025,far,1.0,500,500,6394,0.5945945945945946,0.5217391304347826,0.75,0.6153846153846153
english,cosine_025,far,1.0,500,500,5702,0.5945945945945946,0.52,0.8125,0.6341463414634146
english,cosine_025,far,1.0,500,500,5247,0.5945945945945946,0.52,0.8125,0.6341463414634146
english,cosine_025,far,1.0,500,500,4911,0.5945945945945946,0.52,0.8125,0.6341463414634146
english,cosine_025,far,1.0,500,500,4691,0.5945945945945946,0.52,0.8125,0.6341463414634146
english,cosine_025,far,1.0,500,500,4546,0.6216216216216216,0.5416666666666666,0.8125,0.65
english,cosine_025,far,1.0,500,500,4438,0.6216216216216216,0.5416666666666666,0.8125,0.65
english,cosine_025,far,1.0,500,500,4367,0.6216216216216216,0.5416666666666666,0.8125,0.65
english,cosine_025,far,1.0,500,500,4304,0.6216216216216216,0.5416666666666666,0.8125,0.65
english,cosine_025,close,1.0,500,500,184,0.4864864864864865,0.45714285714285713,1.0,0.6274509803921569
english,cosine_025,close,1.0,500,500,604,0.43243243243243246,0.4074074074074074,0.6875,0.5116279069767441
english,cosine_025,close,1.0,500,500,1200,0.4864864864864865,0.44,0.6875,0.5365853658536586
english,cosine_025,close,1.0,500,500,1673,0.5945945945945946,0.5217391304347826,0.75,0.6153846153846153
english,cosine_025,close,1.0,500,500,2104,0.5675675675675675,0.5,0.6875,0.5789473684210527
english,cosine_025,close,1.0,500,500,2434,0.5405405405405406,0.47619047619047616,0.625,0.5405405405405405
english,cosine_025,close,1.0,500,500,2717,0.5945945945945946,0.5238095238095238,0.6875,0.5945945945945946
english,cosine_025,close,1.0,500,500,2927,0.5945945945945946,0.5238095238095238,0.6875,0.5945945945945946
english,cosine_025,close,1.0,500,500,3106,0.5945945945945946,0.5238095238095238,0.6875,0.5945945945945946
english,cosine_025,close,1.0,500,500,3242,0.5945945945945946,0.5238095238095238,0.6875,0.5945945945945946
english,cosine_050,far,1.0,500,500,844,0.6756756756756757,0.7,0.4375,0.5384615384615384
english,cosine_050,far,1.0,500,500,1704,0.6756756756756757,0.7,0.4375,0.5384615384615384
english,cosine_050,far,1.0,500,500,2177,0.6486486486486487,0.7142857142857143,0.3125,0.43478260869565216
english,cosine_050,far,1.0,500,500,2485,0.6216216216216216,0.625,0.3125,0.4166666666666667
english,cosine_050,far,1.0,500,500,2745,0.6486486486486487,0.7142857142857143,0.3125,0.43478260869565216
english,cosine_050,far,1.0,500,500,2925,0.6486486486486487,0.7142857142857143,0.3125,0.43478260869565216
english,cosine_050,far,1.0,500,500,3058,0.6486486486486487,0.7142857142857143,0.3125,0.43478260869565216
english,cosine_050,far,1.0,500,500,3155,0.6486486486486487,0.7142857142857143,0.3125,0.43478260869565216
english,cosine_050,far,1.0,500,500,3238,0.6486486486486487,0.7142857142857143,0.3125,0.43478260869565216
english,cosine_050,far,1.0,500,500,3285,0.6486486486486487,0.7142857142857143,0.3125,0.43478260869565216
english,cosine_050,close,1.0,500,500,8079,0.6486486486486487,0.7142857142857143,0.3125,0.43478260869565216
english,cosine_050,close,1.0,500,500,8079,0.6486486486486487,0.7142857142857143,0.3125,0.43478260869565216
english,cosine_050,close,1.0,500,500,8079,0.6486486486486487,0.7142857142857143,0.3125,0.43478260869565216
english,cosine_050,close,1.0,500,500,8026,0.6486486486486487,0.7142857142857143,0.3125,0.43478260869565216
english,cosine_050,close,1.0,500,500,7441,0.6486486486486487,0.7142857142857143,0.3125,0.43478260869565216
english,cosine_050,close,1.0,500,500,6530,0.6486486486486487,0.7142857142857143,0.3125,0.43478260869565216
english,cosine_050,close,1.0,500,500,5844,0.6486486486486487,0.7142857142857143,0.3125,0.43478260869565216
english,cosine_050,close,1.0,500,500,5380,0.6486486486486487,0.7142857142857143,0.3125,0.43478260869565216
english,cosine_050,close,1.0,500,500,5023,0.6486486486486487,0.7142857142857143,0.3125,0.43478260869565216
english,cosine_050,close,1.0,500,500,4757,0.6486486486486487,0.7142857142857143,0.3125,0.43478260869565216
english,cosine_075,random,1.0,500,500,8079,0.5945945945945946,1.0,0.0625,0.11764705882352941
english,cosine_075,random,1.0,500,500,8079,0.5945945945945946,1.0,0.0625,0.11764705882352941
english,cosine_075,random,1.0,500,500,7897,0.5945945945945946,1.0,0.0625,0.11764705882352941
english,cosine_075,random,1.0,500,500,7203,0.5945945945945946,1.0,0.0625,0.11764705882352941
english,cosine_075,random,1.0,500,500,6364,0.5675675675675675,0.0,0.0,0.0
english,cosine_075,random,1.0,500,500,5664,0.5675675675675675,0.0,0.0,0.0
english,cosine_075,random,1.0,500,500,5090,0.5675675675675675,0.0,0.0,0.0
english,cosine_075,random,1.0,500,500,4615,0.5675675675675675,0.0,0.0,0.0
english,cosine_075,random,1.0,500,500,4250,0.5675675675675675,0.0,0.0,0.0
english,cosine_075,random,1.0,500,500,3975,0.5675675675675675,0.0,0.0,0.0
english,cosine_075,far,1.0,500,500,8042,0.5945945945945946,1.0,0.0625,0.11764705882352941
english,cosine_075,far,1.0,500,500,7589,0.5945945945945946,1.0,0.0625,0.11764705882352941
english,cosine_075,far,1.0,500,500,6533,0.5945945945945946,1.0,0.0625,0.11764705882352941
english,cosine_075,far,1.0,500,500,5736,0.5945945945945946,1.0,0.0625,0.11764705882352941
english,cosine_075,far,1.0,500,500,5244,0.5945945945945946,1.0,0.0625,0.11764705882352941
english,cosine_075,far,1.0,500,500,4972,0.5945945945945946,1.0,0.0625,0.11764705882352941
english,cosine_075,far,1.0,500,500,4777,0.5945945945945946,1.0,0.0625,0.11764705882352941
english,cosine_075,far,1.0,500,500,4624,0.5945945945945946,1.0,0.0625,0.11764705882352941
english,cosine_075,far,1.0,500,500,4523,0.5945945945945946,1.0,0.0625,0.11764705882352941
english,cosine_075,far,1.0,500,500,4446,0.5945945945945946,1.0,0.0625,0.11764705882352941
english,cosine_075,close,1.0,500,500,8079,0.5945945945945946,1.0,0.0625,0.11764705882352941
english,cosine_075,close,1.0,500,500,8079,0.5945945945945946,1.0,0.0625,0.11764705882352941
english,cosine_075,close,1.0,500,500,8079,0.5945945945945946,1.0,0.0625,0.11764705882352941
english,cosine_075,close,1.0,500,500,8078,0.5945945945945946,1.0,0.0625,0.11764705882352941
english,cosine_075,close,1.0,500,500,7970,0.5945945945945946,1.0,0.0625,0.11764705882352941
english,cosine_075,close,1.0,500,500,7204,0.5945945945945946,1.0,0.0625,0.11764705882352941
english,cosine_075,close,1.0,500,500,6281,0.5675675675675675,0.0,0.0,0.0
english,cosine_075,close,1.0,500,500,5537,0.5675675675675675,0.0,0.0,0.0
english,cosine_075,close,1.0,500,500,4939,0.5675675675675675,0.0,0.0,0.0
english,cosine_075,close,1.0,500,500,4512,0.5675675675675675,0.0,0.0,0.0
english,cosine_090,random,1.0,500,500,5551,0.5675675675675675,0.0,0.0,0.0
english,cosine_090,random,1.0,500,500,5034,0.5675675675675675,0.0,0.0,0.0
english,cosine_090,random,1.0,500,500,4758,0.5675675675675675,0.0,0.0,0.0
english,cosine_090,random,1.0,500,500,4571,0.5675675675675675,0.0,0.0,0.0
english,cosine_090,random,1.0,500,500,4435,0.5675675675675675,0.0,0.0,0.0
english,cosine_090,random,1.0,500,500,4347,0.5675675675675675,0.0,0.0,0.0
english,cosine_090,random,1.0,500,500,4285,0.5675675675675675,0.0,0.0,0.0
english,cosine_090,random,1.0,500,500,4236,0.5675675675675675,0.0,0.0,0.0
english,cosine_090,random,1.0,500,500,4177,0.5675675675675675,0.0,0.0,0.0
english,cosine_090,random,1.0,500,500,4128,0.5675675675675675,0.0,0.0,0.0
english,cosine_090,close,1.0,500,500,8079,0.5675675675675675,0.0,0.0,0.0
english,cosine_090,close,1.0,500,500,8079,0.5675675675675675,0.0,0.0,0.0
english,cosine_090,close,1.0,500,500,8079,0.5675675675675675,0.0,0.0,0.0
english,cosine_090,close,1.0,500,500,8079,0.5675675675675675,0.0,0.0,0.0
english,cosine_090,close,1.0,500,500,8079,0.5675675675675675,0.0,0.0,0.0
english,cosine_090,close,1.0,500,500,8079,0.5675675675675675,0.0,0.0,0.0
english,cosine_090,close,1.0,500,500,8079,0.5675675675675675,0.0,0.0,0.0
english,cosine_090,close,1.0,500,500,8061,0.5675675675675675,0.0,0.0,0.0
english,cosine_090,close,1.0,500,500,7693,0.5675675675675675,0.0,0.0,0.0
english,cosine_090,close,1.0,500,500,7114,0.5675675675675675,0.0,0.0,0.0
german,cosine_001,far,1.0,500,500,8789,0.3541666666666667,0.3541666666666667,1.0,0.5230769230769231
german,cosine_001,far,1.0,500,500,8766,0.3541666666666667,0.3541666666666667,1.0,0.5230769230769231
german,cosine_001,far,1.0,500,500,8948,0.3541666666666667,0.3541666666666667,1.0,0.5230769230769231
german,cosine_001,far,1.0,500,500,9195,0.3541666666666667,0.3541666666666667,1.0,0.5230769230769231
german,cosine_001,far,1.0,500,500,9436,0.3541666666666667,0.3541666666666667,1.0,0.5230769230769231
german,cosine_001,far,1.0,500,500,9721,0.3541666666666667,0.3541666666666667,1.0,0.5230769230769231
german,cosine_001,far,1.0,500,500,9966,0.3541666666666667,0.3541666666666667,1.0,0.5230769230769231
german,cosine_001,far,1.0,500,500,10143,0.3541666666666667,0.3541666666666667,1.0,0.5230769230769231
german,cosine_001,far,1.0,500,500,10309,0.3541666666666667,0.3541666666666667,1.0,0.5230769230769231
german,cosine_001,far,1.0,500,500,10453,0.3541666666666667,0.3541666666666667,1.0,0.5230769230769231
german,cosine_001,close,1.0,500,500,25905,0.3541666666666667,0.3541666666666667,1.0,0.5230769230769231
german,cosine_001,close,1.0,500,500,25905,0.3541666666666667,0.3541666666666667,1.0,0.5230769230769231
german,cosine_001,close,1.0,500,500,25904,0.3541666666666667,0.3541666666666667,1.0,0.5230769230769231
german,cosine_001,close,1.0,500,500,25889,0.3541666666666667,0.3541666666666667,1.0,0.5230769230769231
german,cosine_001,close,1.0,500,500,25741,0.3541666666666667,0.3541666666666667,1.0,0.5230769230769231
german,cosine_001,close,1.0,500,500,25296,0.3541666666666667,0.3541666666666667,1.0,0.5230769230769231
german,cosine_001,close,1.0,500,500,24453,0.3541666666666667,0.3541666666666667,1.0,0.5230769230769231
german,cosine_001,close,1.0,500,500,23340,0.3541666666666667,0.3541666666666667,1.0,0.5230769230769231
german,cosine_001,close,1.0,500,500,22202,0.3541666666666667,0.3541666666666667,1.0,0.5230769230769231
german,cosine_001,close,1.0,500,500,20954,0.3541666666666667,0.3541666666666667,1.0,0.5230769230769231
